Num;Age;Gender;Education;Work?;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9
1;24-26;female;Master of Science;No;1;1;1;1;1;6;6;1;1
2;24-26;female;Master of Science;Yes, full-time;1;4;1;5;1;6;8;1;3
3;24-26;male;Master of Science;Yes, full-time;7;1;1;8;1;5;7;1;7
4;24-26;prefer not to say;Master of Science;No;4;8;3;4;1;6;4;4;8
5;24-26;male;Doctor of Philosophy;Yes, part-time;6;6;5;5;5;5;5;5;8
6;24-26;female;Master of Science;No;5;1;5;2;1;1;8;1;1
7;24-26;female;Master of Science;No;7;4;6;4;3;6;9;5;6
8;20-23;male;prefer not to say;Yes, part-time;8;1;1;2;1;2;8;2;8
9;20-23;female;Master of Science;No;4;6;2;3;3;1;1;2;10
10;20-23;female;Bachelor's degree;Yes, part-time;7;4;8;4;3;4;10;3;3
11;20-23;male;Master of Science;No;1;1;1;1;2;3;8;1;7
12;24-26;female;Doctor of Philosophy;No;7;5;3;3;3;3;3;3;3
13;20-23;male;Master of Science;No;6;4;4;9;2;4;4;4;7
14;20-23;female;Bachelor's degree;No;7;1;5;1;1;2;2;2;4
15;24-26;male;Master of Science;Yes, full-time;3;1;5;2;2;2;5;2;7
16;18-20;female;Bachelor's degree;No;7;4;7;6;6;6;6;6;6
17;24-26;male;Master of Science;No;4;2;3;3;1;2;7;5;5
18;20-23;female;Master of Science;Yes, full-time;4;8;3;7;4;7;7;4;7
19;20-23;female;Bachelor's degree;No;8;1;6;4;1;1;10;4;6
20;24-26;female;Master of Science;No;4;3;2;2;2;2;5;3;7
21;20-23;male;Master of Science;Yes, full-time;1;1;4;1;1;1;2;1;7
22;20-23;female;Master of Science;No;9;1;6;1;5;1;1;2;2
23;24-26;male;Master of Science;No;1;8;2;6;6;6;3;7;8
24;24-26;female;Master of Science;Yes, part-time;8;5;6;7;6;6;4;4;6
25;20-23;female;Master of Science;No;5;5;3;4;3;4;5;3;8
26;20-23;male;Master of Science;No;5;1;1;1;1;4;8;3;9
27;24-26;male;Master of Science;No;5;4;4;4;3;8;9;4;4
28;20-23;female;Master of Science;No;4;8;3;7;5;8;6;4;9
29;24-26;female;Master of Science;No;7;8;5;1;2;1;10;4;1
30;20-23;female;Master of Science;No;8;4;5;3;3;3;6;4;4
31;20-23;female;Bachelor's degree;Yes, part-time;5;3;6;4;2;2;4;2;6
32;20-23;female;Master of Science;No;7;3;8;5;3;3;8;6;3
33;20-23;female;Bachelor's degree;No;5;6;6;6;6;6;6;6;6
34;20-23;female;Bachelor's degree;No;8;5;1;5;1;6;8;1;10
35;18-20;male;Bachelor's degree;No;10;1;4;8;6;6;9;6;10
36;20-23;female;Master of Science;No;5;1;5;2;1;1;5;2;3
37;18-20;female;Bachelor's degree;No;5;1;6;6;6;7;7;8;7
38;27-30;male;Master of Science;No;8;5;9;3;3;5;5;3;9
39;24-26;female;Master of Science;No;6;6;6;6;6;6;6;6;6
40;18-20;male;Master of Science;No;5;4;1;1;1;1;1;1;4
41;27-30;female;Doctor of Philosophy;No;7;7;8;7;7;7;7;7;7
42;20-23;male;Bachelor's degree;No;6;3;8;7;4;7;10;4;7
43;24-26;female;Master of Science;Yes, part-time;10;7;4;3;3;6;4;4;9
44;24-26;female;Master of Science;No;4;3;7;4;4;4;7;8;10
45;20-23;male;Bachelor's degree;No;5;6;5;4;5;5;5;6;5
46;18-20;female;Bachelor's degree;No;10;7;9;7;9;7;8;8;7
47;18-20;male;Bachelor's degree;No;10;1;1;7;1;3;10;1;7
48;27-30;female;Master of Science;No;2;8;7;2;2;3;3;5;3
49;20-23;female;Master of Science;No;3;2;6;8;1;3;6;6;3
50;18-20;male;Bachelor's degree;Yes, full-time;3;5;4;5;7;7;6;6;7
51;20-23;female;Master of Science;No;6;4;1;5;1;2;7;2;5
52;20-23;female;Master of Science;No;4;5;2;1;2;2;4;6;6
53;24-26;female;Master of Science;Yes, full-time;7;7;5;5;5;10;1;6;10
54;20-23;female;Bachelor's degree;No;7;4;4;6;2;5;4;5;6
55;20-23;female;Master of Science;Yes, full-time;6;10;2;8;4;10;2;3;3
56;20-23;female;prefer not to say;Yes, part-time;8;6;9;7;6;6;9;6;7
57;27-30;female;Master of Science;No;1;1;1;1;1;1;1;1;4
58;27-30;male;Master of Science;Yes, full-time;10;3;4;8;1;2;4;1;5
59;18-20;female;Bachelor's degree;No;8;4;7;6;2;2;7;4;5
60;20-23;male;Master of Science;No;7;6;3;3;3;3;3;3;6
61;20-23;female;Master of Science;No;3;3;3;3;3;3;8;3;3
62;24-26;female;prefer not to say;Yes, full-time;6;3;2;7;1;5;5;8;4
63;20-23;male;Master of Science;No;6;5;4;6;4;5;5;4;7
64;20-23;male;Master of Science;No;10;1;5;5;5;7;8;3;10
65;20-23;female;Bachelor's degree;Yes, full-time;5;8;4;7;4;6;8;7;6
66;24-26;female;Master of Science;No;4;1;7;1;4;2;10;7;3
67;24-26;male;Master of Science;No;2;7;2;8;8;7;7;7;7
68;20-23;male;Bachelor's degree;No;8;2;7;4;2;5;6;4;5
69;20-23;female;Master of Science;No;4;9;10;4;3;9;8;5;8
70;20-23;female;Master of Science;No;8;1;5;1;1;1;1;3;10
71;20-23;female;Bachelor's degree;No;8;5;4;4;4;4;3;4;4
72;24-26;female;Master of Science;No;3;3;1;3;1;1;6;1;6
73;24-26;female;Master of Science;No;7;3;4;3;1;6;9;5;7
74;24-26;male;Master of Science;No;10;1;5;5;1;1;1;1;1
