resp_id,rating,operating_system,RAM,storage,screen_size,battery,price,nationality,Age,Gender,Education,Work
1,8,Linux,8,1000,15.6,4,500,italy,20-23,male,Master of Science,No
1,8,MacOS,16,256,13.3,8,1000,italy,20-23,male,Master of Science,No
1,8,MacOS,16,1000,15.6,12,1500,italy,20-23,male,Master of Science,No
1,8,Linux,8,526,14,8,1000,italy,20-23,male,Master of Science,No
1,6,MacOS,4,1000,14,8,500,italy,20-23,male,Master of Science,No
1,4,Windows,4,526,14,12,1500,italy,20-23,male,Master of Science,No
1,3,Linux,16,526,13.3,4,1500,italy,20-23,male,Master of Science,No
1,8,Windows,8,256,15.6,12,1000,italy,20-23,male,Master of Science,No
1,5,Windows,4,256,13.3,4,500,italy,20-23,male,Master of Science,No
2,7,Linux,8,1000,15.6,4,500,italy,20-23,male,Master of Science,No
2,5,Windows,4,526,14,12,1500,italy,20-23,male,Master of Science,No
2,6,MacOS,4,1000,14,8,500,italy,20-23,male,Master of Science,No
2,8,Windows,8,256,15.6,12,1000,italy,20-23,male,Master of Science,No
2,6,Windows,4,256,13.3,4,500,italy,20-23,male,Master of Science,No
2,4,Linux,16,526,13.3,4,1500,italy,20-23,male,Master of Science,No
2,5,MacOS,16,256,13.3,8,1000,italy,20-23,male,Master of Science,No
2,5,MacOS,16,1000,15.6,12,1500,italy,20-23,male,Master of Science,No
2,6,Linux,8,526,14,8,1000,italy,20-23,male,Master of Science,No
3,7,Windows,4,256,13.3,4,500,italy,20-23,female,Master of Science,"Yes, part-time"
3,4,Linux,8,1000,15.6,4,500,italy,20-23,female,Master of Science,"Yes, part-time"
3,7,MacOS,16,256,13.3,8,1000,italy,20-23,female,Master of Science,"Yes, part-time"
3,7,Windows,8,256,15.6,12,1000,italy,20-23,female,Master of Science,"Yes, part-time"
3,5,Linux,8,526,14,8,1000,italy,20-23,female,Master of Science,"Yes, part-time"
3,8,MacOS,4,1000,14,8,500,italy,20-23,female,Master of Science,"Yes, part-time"
3,3,Linux,16,526,13.3,4,1500,italy,20-23,female,Master of Science,"Yes, part-time"
3,8,MacOS,16,1000,15.6,12,1500,italy,20-23,female,Master of Science,"Yes, part-time"
3,6,Windows,4,526,14,12,1500,italy,20-23,female,Master of Science,"Yes, part-time"
4,6,Linux,8,1000,15.6,4,500,italy,20-23,male,Master of Science,"Yes, part-time"
4,8,MacOS,4,1000,14,8,500,italy,20-23,male,Master of Science,"Yes, part-time"
4,3,Linux,16,526,13.3,4,1500,italy,20-23,male,Master of Science,"Yes, part-time"
4,7,Windows,8,256,15.6,12,1000,italy,20-23,male,Master of Science,"Yes, part-time"
4,8,MacOS,16,1000,15.6,12,1500,italy,20-23,male,Master of Science,"Yes, part-time"
4,5,Windows,4,256,13.3,4,500,italy,20-23,male,Master of Science,"Yes, part-time"
4,4,Windows,4,526,14,12,1500,italy,20-23,male,Master of Science,"Yes, part-time"
4,9,MacOS,16,256,13.3,8,1000,italy,20-23,male,Master of Science,"Yes, part-time"
4,7,Linux,8,526,14,8,1000,italy,20-23,male,Master of Science,"Yes, part-time"
5,7,Windows,8,256,15.6,12,1000,italy,24-26,male,Master of Science,"Yes, part-time"
5,8,MacOS,4,1000,14,8,500,italy,24-26,male,Master of Science,"Yes, part-time"
5,6,Windows,4,256,13.3,4,500,italy,24-26,male,Master of Science,"Yes, part-time"
5,7,MacOS,16,256,13.3,8,1000,italy,24-26,male,Master of Science,"Yes, part-time"
5,7,Linux,8,1000,15.6,4,500,italy,24-26,male,Master of Science,"Yes, part-time"
5,8,Linux,8,526,14,8,1000,italy,24-26,male,Master of Science,"Yes, part-time"
5,8,MacOS,16,1000,15.6,12,1500,italy,24-26,male,Master of Science,"Yes, part-time"
5,4,Linux,16,526,13.3,4,1500,italy,24-26,male,Master of Science,"Yes, part-time"
5,5,Windows,4,526,14,12,1500,italy,24-26,male,Master of Science,"Yes, part-time"
6,6,Windows,4,256,13.3,4,500,italy,20-23,female,Master of Science,No
6,7,Windows,8,256,15.6,12,1000,italy,20-23,female,Master of Science,No
6,7,MacOS,16,1000,15.6,12,1500,italy,20-23,female,Master of Science,No
